Event	ID	Name			Wwise Object Path	Notes
	2932040671	Play_Music			\CurtisOnly\Play_Music	

Switch Group	ID	Name			Wwise Object Path	Notes
	825489254	MusicGameplay			\CurtisSwitches\MusicGameplay	

Switch	ID	Name	Switch Group			Notes
	579523862	Explore	MusicGameplay			
	2764240573	Combat	MusicGameplay			

State Group	ID	Name			Wwise Object Path	Notes
	3656507567	MusicLevelSelectState			\CurtisStates\MusicLevelSelectState	

State	ID	Name	State Group			Notes
	748895195	None	MusicLevelSelectState			
	2678230379	Level4	MusicLevelSelectState			
	2678230380	Level3	MusicLevelSelectState			
	2678230381	Level2	MusicLevelSelectState			
	2678230382	Level1	MusicLevelSelectState			
	2791675679	Defeated	MusicLevelSelectState			

Game Parameter	ID	Name			Wwise Object Path	Notes
	3944938132	rtpc_SC_Lv1_Cmbt			\CurtisRTPCs\rtpc_SC_Lv1_Cmbt	
	4090455194	rtpcVisibleEnemies			\CurtisRTPCs\rtpcVisibleEnemies	

Effect plug-ins	ID	Name	Type				Notes
	1125262053	Blue_Distant_Echoes	Wwise Stereo Delay			
	1990128658	Room_Medium	Wwise RoomVerb			
	3164629247	Holy	Wwise RoomVerb			
	3604890626	High_Pass_60Hz	Wwise Parametric EQ			
	4113267698	Hall_Guns	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	4623842	BujSp22_128bpm_4-4_4b_ drums1	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BujSp2022\BujSp22-WwRepo\BujSp2022-WwProj\.cache\Windows\SFX\BujSp22_128bpm_4-4_4b_ drums1_0BA09294.wem		\Interactive Music Hierarchy\CurtisOnly\MusicLevelSelect\Level1Music\L1-Combat\Combat\BujSp22_128bpm_4-4_4b_ drums1		123733
	9087838	BujSp22_128bpm_4-4_4b_ drums1	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BujSp2022\BujSp22-WwRepo\BujSp2022-WwProj\.cache\Windows\SFX\BujSp22_128bpm_4-4_4b_ drums3_0BA09294.wem		\Interactive Music Hierarchy\CurtisOnly\MusicLevelSelect\Level1Music\L1-Combat\Combat\BujSp22_128bpm_4-4_4b_ drums1		124004
	9301003	BujSp22_128_4-4_Ps2_ L2_Cello	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BujSp2022\BujSp22-WwRepo\BujSp2022-WwProj\.cache\Windows\SFX\Block3\BujSp22_128_4-4_Ps2_ L2_Cello_0BA09294.wem		\Interactive Music Hierarchy\CurtisOnly\MusicLevelSelect\Level2Music\L2-Combat\Block3\BujSp22_128_4-4_Ps2_ L2_Cello		297759
	30253788	BujSp22_128bpm_4-4_4b_ drums1	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BujSp2022\BujSp22-WwRepo\BujSp2022-WwProj\.cache\Windows\SFX\BujSp22_128bpm_4-4_4b_ drums2_0BA09294.wem		\Interactive Music Hierarchy\CurtisOnly\MusicLevelSelect\Level1Music\L1-Combat\Combat\BujSp22_128bpm_4-4_4b_ drums1		124076
	33551605	BujSp22_128_4-4_Ps2_ Dft_coughs	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BujSp2022\BujSp22-WwRepo\BujSp2022-WwProj\.cache\Windows\SFX\BujSp22_128_4-4_Ps2_ Dft_coughs_0BA09294.wem		\Interactive Music Hierarchy\CurtisOnly\MusicLevelSelect\Defeated\Block2\BujSp22_128_4-4_Ps2_ Dft_coughs		238446
	35669761	BujSp22_128bpm_4-4_4b_ cello_Ps4	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BujSp2022\BujSp22-WwRepo\BujSp2022-WwProj\.cache\Windows\SFX\BujSp22_128bpm_4-4_4b_ cello_Ps4_0BA09294.wem		\Interactive Music Hierarchy\CurtisOnly\MusicLevelSelect\Level1Music\L1-Explore\Explore\BujSp22_128bpm_4-4_4b_ cello_Ps4		205384
	35915402	BujSp22_128bpm_4-4_4b_fx_steams	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BujSp2022\BujSp22-WwRepo\BujSp2022-WwProj\.cache\Windows\SFX\BujSp22_128bpm_4-4_4b_fx_steams_0BA09294.wem		\Interactive Music Hierarchy\CurtisOnly\MusicLevelSelect\Level1Music\L1-Explore\Explore\BujSp22_128bpm_4-4_4b_fx_steams		489359
	36349746	BujSp22_128bpm_4-4_4b_ Hats_Ps4	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BujSp2022\BujSp22-WwRepo\BujSp2022-WwProj\.cache\Windows\SFX\BujSp22_128bpm_4-4_4b_ Hats_Ps4_0BA09294.wem		\Interactive Music Hierarchy\CurtisOnly\MusicLevelSelect\Level1Music\L1-Explore\Explore\BujSp22_128bpm_4-4_4b_ Hats_Ps4		281775
